,Column1,Groserias,Vulgar,Agresivo,Ofensivo,Unnamed: 0
4062,,Qué clase de cojones. https://t.co/KVsV02Hvs3,1,0,0,4062.0
3119,3119.0,"@SergioSarmiento Amplia tu argumento pueril....Han proliferado por ser buen negocio para las farmacias y ser de inmediata atencion, frente a enfermedades comunes.",0,0,0,
1610,1610.0,Deja de gimotear,0,0,0,
1795,1795.0,"@AndyFailer #LaOposiciónMásTontaDeLaRegión
Siguen en su burbujita sumisa a #LaCasaDelNorte sin candidato, sin propuestas, puro hígado escupiendo bilis 
#Mediocres",0,0,1,
5800,,"Qué feos modos que pidas dos picadas, una empanada y una gorda y te las sirvan por separado en tres platos.

Se ve como: ""Pero cómo traga ese cabrón""",0,0,0,5800.0
4624,,"+La militarización de Calderón era mala, pero ¿la militarización de anlo es?

-Mmm... mmm... no podría contestar eso.

#PreguntasParaLeticiaRamirez
.✍🏼 https://t.co/q6BEOSFOl9",0,0,0,4624.0
382,382.0,@mario_delgado 💭déjenme dormir... ya no quiero ser presidente... odio a mis hijos... morena se me volvió un burdel... https://t.co/FhaEIsoj2f,0,0,0,
2300,,@rojasdiazduran Gato y achichincle del cacique. #FueraDeMorena,0,0,1,2300.0
3027,3027.0,"@CafeconVozNi Eso lo sabemos plumifero, pero ladro antes y así no es el asunto, ya sabemos que todos los embajadores que han estado y estarán en Nicaragua vienen a conspirar contra el gobierno, Hugo no será el embajador.
Caso cerrado",0,0,1,
3032,3032.0,@abrahamendieta Y? Envidia o coraje porque no te las pagan a ti??? Inche ENVIDIOSO pobretón,1,0,1,
5041,5041.0,"""Es medicina lo de nosotros, no cualquier fritanga"", a la puta clase puteada jajaja :')",1,0,0,
3099,3099.0,"@EnriqueVargasdV Contigo ya sabemos hacia dónde iría el Edomex.
Por amor al prójimo, debes desistir de tu atrocidad.",0,0,0,
4986,4986.0,@YeKeLey @AbiigailNajera Real dice cablon puñeta diablo,0,0,0,
2435,,"Cobarde cínico , él es quien se oponía también a la militarización ... https://t.co/UWpoWsHaJr",0,0,1,2435.0
253,253.0,Se puso más bicha pero no pierde la esencia,0,0,0,
3994,3994.0,@AleRuaTwit @tanoproductor @edufeiok Bruto y pelotudo ..eduardito  vos y tus amigos  deberían estar al menos procesados x meter odio todos los días x fugadores y corruptos  chantas q reciben guita de macri y otros golpistas operadores...,1,0,0,
627,627.0,"La dotación consta de conos de señalamiento, goggles de protección, arneses, guantes de carnaza y de uso rudo, cuerda semiestatica, cable de posicionamiento, mosquetones de acero, entre otras herramientas 
  @EmilioMontpe https://t.co/cS6IT7UrxF",0,0,0,
1690,1690.0,Si empienzan como la guabina (enteGubernamental) entonces a lacalle y PARO GENERAL EN SEPTIEMBRE. Sinafum se mete y empieza el enteGubernamental a guabinear. Atentos: 1° #DeroguenElInstructivoOnapre 2° #OnapreViolaLaConstitucion  3° #LaLuchaSigue  4° #QueremosElPagoCompletoYa,0,0,0,
365,365.0,"Que se sigan riendo mis detractores,
Que le sigan dando ""me divierte"" en Facebook a lo que es.

Que le sigan.
Al final, de perdedores e IMBECILES adoctrinados por MORENA y por AMLO vive la gente, que no sirve ni para la yunta del buey.",1,0,1,
2438,,@martibatres @Claudiashein El porro de los ochentas mega hipócrita y cínico.,0,0,0,2438.0
1826,1826.0,@mangurrinairene A quien llamas tú hortera https://t.co/ZAtXtEbO4T,0,0,0,
1178,1178.0,"@klon_perez Se cagó el enano xq su jefe enchufado lo amenazó q también iba a comer pan con agua, q hipócrita kmo el s uno d los privilegiados del club no le quedó otra y que d retractarse x si mismo",1,0,1,
1451,1451.0,"@AXL_400 Que fregón amigo ! Como se disfrutan años más tarde esas fotos 👌🏼
Bendiciones para tus bebés.🙏🏼",1,0,0,
3838,3838.0,"Creo que no merezco cenar, he pasado todo el día comiendo como un desgraciado. Basta ya 🥲",0,0,0,
2010,,@Don_OmarMMA JAJAJAJA 🤣,0,0,0,2010.0
4617,,"🏳‍⚧ Profesor es encarcelado por negarse a usar lenguaje inclusivo: ""Mis creencias religiosas no son mala conducta"" https://t.co/ub82t3NQEM https://t.co/wGiaNPSg3G",0,0,0,4617.0
4397,4397.0,Qué chingón soy,1,0,0,
1664,,"Yo me doy cuenta como hablan mal de mi Jajaja..
Y aún tienen el maldito descaro de hablarme....
Yo  no digo nada , actuo normal para ver donde llega su maldito descaro....",0,1,0,1664.0
1318,1318.0,"@PonchoGutz ""ESO NO TE QUITA LO CHAIRO""

EL FACHO: https://t.co/EDfZ8kITd8",0,0,1,
1854,1854.0,@e_deportivo @acervantes_  @pepesegarra  @politoluco  fue una porquería la presentación de edzon vs el Indio Bryan jajaja viejos tarados. Yo digo que TODOS,0,0,1,
5954,,@e_steampunk @JLozanoA Pesa más tener el respaldo de un wey con poder.. no importa lo estúpido o ignorante que seas así se manejan las cosas en este México lindo y querido tan lleno de hijos de la chiiiiiiii,0,0,1,5954.0
556,556.0,"Les comparto el siguiente boceto del fresco ""La ciudad en llamas"", mural de José Clemente Orozco que se encuentra dentro de la Capilla Mayor del @museocabanas. En él Orozco muestra una angosta calle del viejo Guadalajara, con sus características casas bajas y sus azoteas. https://t.co/cX4nYlY1Pk",0,0,0,
4976,,Quiero informarle al mundo que hasta que llegué a vivir a esta ciudad conocí lo que es un legajo :3,0,0,0,4976.0
3919,,"@FanPumaOficial Que importa el puto árbitro?!
A nosotros nos interesa que 11 imbéciles jueguen con huevos, con garra...así sea Pierluigi Collina el que pite...quien sea el puto árbitro, quien sea el puto rival, salgan con huevos. Pinches pretextos pendejos ""es que el árbitro"" vayanse alv",0,0,1,3919.0
3180,3180.0,"@Barriaorlando El Vaticano será destruido por Dios mismo, son la gran ramera de Apocalipsis menciona

Los papas, cardenales han sido asesinos pedofilos violadores ladrones avaros, lavan dinero en su banco 

Lobos disfrazados de ovejas https://t.co/H5vDbsUi53",1,1,1,
