,Unnamed: 0,Column1,Groserias,Vulgar,Agresivo,Ofensivo,Unnamed: 0.1
2513,5203,,"@EnriqueAlfaroR ¿Oye GORDO, y qué respuesta das a los funcionarios de la UAG…?  ¿Cuando te preguntaron sobre la lana que nomás no aflojas para la universidad?Con ellos nomas te “indignastes, amenazastesy te fuistes” https://t.co/53IhcRupfN",0,0,1,5203.0
585,3030,,La parte más importante del cuerpo es el cerebro.  hoy aprendí lo padre que es usar colores bien coquetos e intensos en mis uñitas para ser lo más top del año.,0,0,0,3030.0
1374,265,265.0,"a mi no, pero a mi bicho lo ama",0,0,0,
3393,4867,,Jamás confiaré en un “abogado” que cite e idolatre a Miguel Carbonell.,0,0,0,4867.0
298,2033,2033.0,La naty y la lenteja https://t.co/f260wp2wst,0,0,0,
862,2848,2848.0,"@vjmc Usted no ha entendido el cambio cultural rojo. En comunismo los únicos q son educados en el extranjero son los hijos de los líderes; para los hijos del perraje sólo analfabetismo funcional y miseria, adoptrinándolos para q a los únicos ricos q acepten se a ellos, sus amos rojos. https://t.co/7ZUPCFiPnB",0,0,0,
1222,5775,,"@c4jimenez @FiscaliaCDMX @FiscaliaEdomex @SS_Edomex @multimediostv @lopezobrador_ @Claudiashein @alfredodelmazo que poca madre tiene este pinche gobierno de mierda, donde a un conductor, vendedor, trabajador, etc lo tratan como el más grande delincuente sus oficiales y a esta porquería de persona lo tienen trabajando en sus filas o con uds.",1,0,1,5775.0
679,1786,,No es tu celular… Waze se cae a nivel mundial https://t.co/lxu8MKBaP8 https://t.co/Bajl1ckggb,0,0,0,1786.0
1088,4152,,"Me duele la puta cabeza, este abismo sigue llamando",1,0,0,4152.0
423,5319,,@Thixinho La vieja escuela manda ALV !!!!,1,0,0,5319.0
2358,5007,,"Con tales desafíos económicos, es difícil ver cómo la nueva primera ministra de Reino Unido ganará un gran apoyo de los votantes en las próximas elecciones.
 https://t.co/0PKBdtgMPL",0,0,0,5007.0
1146,3702,,@_Futbolero_ FAKE !!! FaLso !!! Hazard no fue firmado por 160M !!! Que ridiculo tan grande querer hablar sin tener idea !!!!,0,0,1,3702.0
135,679,,@ilymissyy @zeuspriiv Los 2 estan bien pendejos la mejor serie de la putisima historia ustedes se la pasan viendo anime de mierd bola de pendejos no tienen respeto,1,1,1,679.0
3453,2826,,@epigmenioibarra Cómo tú vas a hacer parte del poder después del 24 estás haciendo tu chamba mezquino izquierdista,0,0,1,2826.0
832,3598,,@Geraldinedi12 Mongolico tu papá,0,0,1,3598.0
1245,5527,,Y aquí en Venezuela el ladrón Guaido q se ha robado millones de Dólares anda tranquilazo por la calles de pais y además es muy amigo de los gobernantes británicos que además se han robado el oro venezolano https://t.co/HMSlbkWJXS,0,0,0,5527.0
3132,2415,,"¡Ayyyy @JTrianaT de verdad que eres un cínico y sinvergüenza! ¡Vete ya a Shanghái vía Sumatra! Y deja de esta repitiendo tu mantra como loro:
¡iaceo ergo sum - miento luego existo! https://t.co/WCBVeDahFR https://t.co/wQoN0HZSyn",0,0,1,2415.0
1921,3861,,"@conexionmadrid9 Es un golpe ..benzema. O es tonto ...mejor no forzar , es lo mismo de la temporada pasada , contra el Espanyol , es mejor cuidar y listo",0,0,1,3861.0
2817,2863,,"@hdemauleon Que traes demaugato, no te da vergüenza ser tan mezquino?",0,0,1,2863.0
954,5233,,"@JuanPappierHRW @glabrador @_elfaro_ @_elcomisionado_ Por mi que pongan a rrecojer unas 1,000 veces el jabon a ese gordo odia mujeres. Asi ya sale listo!",0,0,0,5233.0
432,2947,2947.0,@ferheckler @estebaninv Se podrá defender que también hace falta industria en la ciudad sin necesidad de justificar al pintamonas que ha firmado de un monumento histórico. Leed lo que escribís que no tiene pies ni cabeza.,0,0,1,
967,2596,2596.0,@lopezdoriga Ceguera. Cortedad de miras. Ombliguismo,0,0,0,
449,3168,,@ElHuffPost Pinocho hablando de la mentira.,0,0,0,3168.0
2842,556,,"La vdd sí está chingón el clima lluvioso, qué hueva andar ahí con calor todo el puto día",1,0,0,556.0
734,3688,3688.0,Chicas de Twitter. Aquí tenéis la solución. Muahahaha muahahaha https://t.co/1jV0wGnMms https://t.co/NtyB3KCpOJ,0,0,0,
1419,654,654.0,no puede ser que me quede viendo 15 minutos a un tipo quitando el cascarón de huevo pero sin romperlo,0,0,0,
616,5124,5124.0,@mawspreen Escribe bien puto,1,0,1,
255,4024,4024.0,@MarkoCortes @CeciliaPatronL @GustavoMadero @JorgeRoHe @julenrementeria @ferdoval Wey neta eres idiota o te haces.  Ya sabemos que tú miserable carrera política está acabada pero defender al vandalito neta que hace que te vayas directo al hoyo,1,1,1,
1658,1107,,"Y sigue wey, no entiende el no se puede",0,0,0,1107.0
848,2289,,"Ni libre ni republicano, sólo un puto achichincle de Monreal. Están en contra de Morena y del obradorismo, qué carajos hacen ahí, rémoras. https://t.co/I5vBL2d29r",0,0,1,2289.0
927,142,,"@YukiUwU4 El mejor remedio para la tímides y el miedo a situaciones sociales es comportart lo más pendejo posible 😂 te ayudará a no sentir la sensación de tensión de estar siendo incomodamente silenciosa. Entre menos serio sos la gente te trata mejor y más fácil, garantizado",1,0,0,142.0
903,3103,,"Ya me tiene hasta al chingada el sonic ese, me dejó sin casa el hdp https://t.co/rhMyDga9ob",1,1,1,3103.0
2642,4652,,@laoctavadigital @PaolaSaeb @AlessandraRdlv @DeniseDresserG @GN_MEXICO_ HIPOCRITAS deberian de estar en la corte para evitar que  se elimine la prision preventiva que dejaria en la calle a violadores y  a quien comete femenicidios,0,0,0,4652.0
876,5284,,@ponysantoy Más te vale que no digas que yo perra,1,0,0,5284.0
995,773,773.0,@marpec27 Jajajaja hasta el quick Mendoza metería goles con el cata 🤦🏻‍♂️,0,0,0,
1487,5189,5189.0,"#HugoLopezGatel no le da vergüenza decir sartas de estupideces sobre los consultorios si usted estando en el puesto nunca ha hecho propuestas y las condiciones laborales de los médicos, prefieren traer cubanos que hacer una oferta de trabajo formal a esos médicos de los cuales",0,0,1,
1741,4243,4243.0,"perro malparido,me cague T T",1,0,1,
865,5890,,"@BegoGM6 @ary_ara_celi @nnunezortiz @Carlaazglez @ARNgatoromo @Arje_02 @Oscar_Dorantes @GV5020 @Lucrecia1Borgia @webmasterazul @Teacher1Rosy @eadanm @micm54 @General_Polvora @IngGonzaloCort2 @germancavazos11 @Aniv_Delarev0 De por ahí:

'Amor azul'
Ramera, de todo te di.
Mariposa colosal, sí,
yo de todo te di.

Poda la rosa, Venus.
El átomo como tal
es un evasor alado.

Pide, todo te doy: isla,
sol, ocaso, pirámide.
Todo te daré: mar, luz, aroma.",0,0,0,5890.0
437,3068,3068.0,@RAU1948 Saben que al populacho lo que le gusta es la mierda,1,0,1,
1949,1855,1855.0,"@BalderEdmundo @ricardoentwit @AreliPaz Lucrar con el pueblo jajaajja como eres indio en serio, el pueblo de México le consume a CFE NADIE NADIE NADIE más que ellos surten energía eléctrica al sector doméstico jajajaj entre más te mueves más te ensartas. Ya das hueva llegale",1,0,1,
2185,2837,,@mizraimcastelan Hay veces que preguntas con dolo…. Sacan lo mezquinó de la persona ( como enseñar matemáticas ) mejor que. @daniellemx_  nos diga donde está @INESGOMEZMONT  . Xq muda está https://t.co/vn7uLypN2T,0,0,0,2837.0
1302,1321,,"El hecho de que ahora me dedique mas al estudio que al trabajo me hace sentir un huevon,  aunque siga generando jajajajjaja",1,0,1,1321.0
129,798,,@lamenerosse71 @LinTzitzimine Es un miserable ese sujeto.,0,1,1,798.0
